#SKU_QUANTITY_LIST, X, Y, PALLET_ID
"1427737:31",21,6,10065
"548501:21,2363119:7",11,6,10066
"548501:26,1323098:17",7,8,10067
"594768:36",17,5,10068
"582599:26",17,8,10069
"582599:30,2339892:152",20,5,10070
"582599:35,683186:24",10,12,10071
"1689327:46",5,13,10072
"2339892:152",17,9,10073
"1262000:57,1748525:31,1974412:4",22,5,10074
"1335852:33",10,8,10075
"2190033:3,2949632:40",24,12,10076
"548501:27,2949632:54",6,12,10077
"1429923:44,2781723:9",18,9,10078
"582599:9,669048:27,959838:30,1312318:49,1657851:2",20,16,10079
"287212:61",6,5,10080
"582599:26,1228113:8",22,16,10081
"1413820:187",9,8,10082
"548501:28,1404779:7",20,8,10083
"1592206:30",6,6,10084
"548501:30",11,15,10085
"548501:29,1592206:33",13,8,10086
"548501:38",22,15,10087
"548501:29,1138744:3,1404779:6",10,9,10088
"548501:28",21,9,10089
"1689327:47,2348792:12",23,6,10090
"1103180:40,2949632:14",18,13,10091
"1209604:36",22,9,10092
"1130627:24,1305609:22",13,13,10093
"1044478:26",13,9,10094
"1362246:3,1500641:23",10,13,10095
"860498:24,1851370:14",13,16,10096
"2281281:45",19,13,10097
"671422:53",7,12,10098
"1187578:50",21,8,10099
"605085:16,2480646:35",8,15,10100
"840211:36,1312305:51",12,5,10101
"1212521:33",5,16,10102
"416905:30,1122741:8",17,15,10103
"852701:27",12,15,10104
"2347045:37",19,15,10105
"528420:53",13,6,10106
"960055:27",21,5,10107
"1071203:4,1766481:26",14,8,10108
"2383233:31",17,6,10109
"1689327:15,2609314:18",12,12,10110
"1335857:20,1937479:52",25,12,10111
"840211:32,1842408:12,1842778:4,1867146:15",13,12,10112
"645147:63,1130627:3",23,16,10113
"813728:53,1875883:23,1937986:48",14,9,10114
"298104:20,1751060:20,2247923:44",26,13,10115
"2247314:39,2307911:22",8,9,10116
"1138744:57",23,13,10117
"2302238:70",24,16,10118
"1856223:32",6,13,10119
"2201629:118",5,15,10120
"1286521:29",24,13,10121
"972807:6,1060862:16,1479875:30,1669792:1,1897786:15",19,9,10122
"2265044:67",5,12,10123
"491715:23,1664594:97",12,9,10124
"1677317:6,1848313:23,1897786:8",8,12,10125
"1085002:32,1897786:8",26,12,10126
"1085002:79",7,16,10127
"1419126:36,1579172:41",9,5,10128
"2714736:52",9,16,10129
"733141:17,1834962:17,2404560:13",6,8,10130
"979761:19,1094757:3,1848313:21",23,5,10131
"647260:17,2195219:14",11,12,10132
"1085002:30,1139853:13,1312738:15,2404560:29",20,12,10133
"901897:13,1021099:91",25,9,10134
"2427521:40,2668687:12",18,12,10135
"968377:8,2289188:20",14,16,10136
"2379111:13,2404560:27",20,13,10137
"1122741:8,2339136:9,2404560:29",22,12,10138
"2265044:4,2949632:35",19,6,10139
"733141:24,1897786:15",19,5,10140
"1842778:14,2302238:25",19,8,10141
"298104:30,1751060:11",23,15,10142
"1751060:20,2247923:14",24,15,10143
"582599:33,1766481:54",13,5,10144
"2302238:2,1867146:34",12,6,10145
"1286521:31,901902:24",12,13,10146
"1308094:52,1085002:4",9,12,10147
